student_id,attendance_percentage,internal_marks,assignment_score,communication_skill,technical_skill,projects_completed,aptitude_score,internships,backlogs,cgpa,preferred_domain,performance_label,placement_label
1,60,83,94,5,7,5,95,3,3,5.58,Web,Poor,Placed
2,55,78,82,7,5,1,92,1,0,6.78,Web,Average,Not_Placed
3,81,70,56,6,8,3,50,1,1,7.2,Data,Average,Not_Placed
4,68,74,68,4,8,4,95,2,2,8.71,AI,Good,Placed
5,86,74,91,5,9,4,94,0,3,6.44,AI,Poor,Not_Placed
6,84,69,84,4,6,5,95,0,1,6.69,Web,Average,Not_Placed
7,62,61,60,5,7,5,72,2,1,5.7,Web,Poor,Not_Placed
8,64,61,73,4,5,0,79,1,0,7.62,Data,Average,Not_Placed
9,98,84,82,4,7,3,71,0,0,6.81,Web,Average,Not_Placed
10,85,54,81,8,4,2,51,1,1,6.65,Web,Average,Not_Placed
11,84,80,80,8,9,5,83,1,2,7.26,AI,Average,Not_Placed
12,59,86,67,7,9,2,66,0,3,7.69,Data,Average,Not_Placed
13,92,51,61,5,4,1,51,2,3,8.29,Data,Good,Not_Placed
14,66,51,58,4,7,0,61,2,2,8.72,Data,Good,Not_Placed
15,71,84,68,4,7,2,85,3,1,5.95,Web,Poor,Placed
16,77,74,91,6,7,4,73,3,1,9.41,Web,Good,Not_Placed
17,87,88,86,5,5,2,50,3,1,7.46,Web,Average,Not_Placed
18,54,49,77,4,7,0,75,2,2,6.93,Data,Average,Not_Placed
19,70,88,68,5,6,0,73,0,0,9.57,Web,Good,Placed
20,73,94,75,7,6,0,85,0,1,8.14,Web,Good,Not_Placed
21,100,76,66,4,9,3,58,1,2,5.58,AI,Poor,Not_Placed
22,88,84,64,7,4,0,83,0,3,6.87,Data,Average,Not_Placed
23,79,55,92,5,4,4,84,3,2,9.67,Web,Good,Placed
24,73,53,49,4,7,3,84,2,1,8.23,Web,Good,Placed
25,56,58,66,4,5,3,95,0,0,7.34,Web,Average,Not_Placed
26,79,48,56,8,6,1,87,1,0,7.27,Data,Average,Not_Placed
27,54,95,48,7,7,2,86,0,3,5.83,Web,Poor,Not_Placed
28,94,66,68,8,5,0,54,2,1,6.18,Web,Poor,Not_Placed
29,58,82,62,6,4,4,57,0,2,7.01,Web,Average,Not_Placed
30,95,55,57,6,8,1,52,0,3,5.94,Data,Poor,Not_Placed
31,70,80,94,9,5,0,85,2,1,8.09,Data,Good,Placed
32,86,56,54,5,6,1,80,1,3,7.95,Web,Average,Not_Placed
33,76,90,77,9,5,0,65,0,0,6.57,Data,Average,Not_Placed
34,95,56,95,8,4,3,60,0,2,8.46,Web,Good,Not_Placed
